deviceIndex,streamType,hwTimestampUs,globalTimestampUs,sysTimestampUs,frameNumber
0,DEPTH,1787555491174127,1787555491176514,1787555491198601,8
0,DEPTH,1787555491219180,1787555491221555,1787555491243722,9
0,DEPTH,1787555491252516,1787555491254882,1787555491277007,10
0,DEPTH,1787555491285850,1787555491288207,1787555491310463,11
0,DEPTH,1787555491319182,1787555491321530,1787555491343497,12
0,DEPTH,1787555491352513,1787555491354852,1787555491376767,13
0,DEPTH,1787555491385853,1787555491388183,1787555491410648,14
0,DEPTH,1787555491419181,1787555491421503,1787555491443672,15
0,DEPTH,1787555491455397,1787555491457709,1787555491480095,16
0,DEPTH,1787555491485859,1787555491488163,1787555491510461,17
0,DEPTH,1787555491519196,1787555491521491,1787555491543692,18
0,DEPTH,1787555491552564,1787555491554850,1787555491577210,19
0,DEPTH,1787555491585858,1787555491588897,1787555491610316,20
0,DEPTH,1787555491619193,1787555491622228,1787555491643642,21
0,DEPTH,1787555491652525,1787555491655556,1787555491676977,22
0,DEPTH,1787555491685873,1787555491688899,1787555491710453,23
0,DEPTH,1787555491719193,1787555491722215,1787555491743647,24
0,DEPTH,1787555491752576,1787555491755594,1787555491777033,25
0,DEPTH,1787555491785863,1787555491788877,1787555491810287,26
0,DEPTH,1787555491819194,1787555491822204,1787555491843866,27
0,DEPTH,1787555491852523,1787555491855529,1787555491876886,28
0,DEPTH,1787555491885861,1787555491888863,1787555491910165,29
0,DEPTH,1787555491919190,1787555491922188,1787555491943641,30
0,DEPTH,1787555491952579,1787555491955573,1787555491976736,31
0,DEPTH,1787555491985858,1787555491988848,1787555492009987,32
0,DEPTH,1787555492019194,1787555492022180,1787555492043399,33
0,DEPTH,1787555492052532,1787555492055514,1787555492077116,34
0,DEPTH,1787555492085863,1787555492088840,1787555492110043,35
0,DEPTH,1787555492119193,1787555492122167,1787555492143336,36
0,DEPTH,1787555492152524,1787555492155493,1787555492176999,37
0,DEPTH,1787555492185859,1787555492188824,1787555492209998,38
0,DEPTH,1787555492219209,1787555492222170,1787555492243336,39
0,DEPTH,1787555492252526,1787555492255483,1787555492276747,40
0,DEPTH,1787555492285861,1787555492288814,1787555492310114,41
0,DEPTH,1787555492319195,1787555492322144,1787555492343447,42
0,DEPTH,1787555492352525,1787555492355470,1787555492377045,43
0,DEPTH,1787555492385862,1787555492388803,1787555492410104,44
0,DEPTH,1787555492419201,1787555492422138,1787555492443587,45
0,DEPTH,1787555492452527,1787555492455460,1787555492477023,46
0,DEPTH,1787555492485867,1787555492488796,1787555492510118,47
0,DEPTH,1787555492519195,1787555492522119,1787555492543715,48
0,DEPTH,1787555492552533,1787555492555453,1787555492576746,49
0,DEPTH,1787555492585862,1787555492589377,1787555492611814,50
0,DEPTH,1787555492619202,1787555492622717,1787555492643421,51
0,DEPTH,1787555492652530,1787555492656044,1787555492676740,52
0,DEPTH,1787555492685868,1787555492689381,1787555492710097,53
0,DEPTH,1787555492719198,1787555492722710,1787555492743589,54
0,DEPTH,1787555492752584,1787555492756095,1787555492776911,55
0,DEPTH,1787555492785867,1787555492789377,1787555492810014,56
0,DEPTH,1787555492819197,1787555492822707,1787555492843435,57
0,DEPTH,1787555492852534,1787555492856043,1787555492876715,58
0,DEPTH,1787555492885886,1787555492889394,1787555492910319,59
0,DEPTH,1787555492919198,1787555492922705,1787555492943400,60
0,DEPTH,1787555492952536,1787555492956042,1787555492976785,61
0,DEPTH,1787555492985882,1787555492989388,1787555493010062,62
0,DEPTH,1787555493019202,1787555493022707,1787555493043393,63
0,DEPTH,1787555493052535,1787555493056039,1787555493076740,64
0,DEPTH,1787555493085866,1787555493089369,1787555493110464,65
0,DEPTH,1787555493119199,1787555493122701,1787555493143436,66
0,DEPTH,1787555493152564,1787555493156065,1787555493176930,67
0,DEPTH,1787555493185869,1787555493189370,1787555493210527,68
