sn,rowId,swNum,hwNum,systemUs,deviceUs,globalUs
CPBG1630011D,69,70,84,1788583129530179,1788583129509866,1788583129509796
CV3T561000H0,19,20,28,1788583129531943,1788583129507751,1788583129510020
CPBG1630011D,70,71,85,1788583129563516,1788583129543203,1788583129543134
CV3T561000H0,20,21,29,1788583129565277,1788583129541088,1788583129543358
CPBG1630011D,71,72,86,1788583129596985,1788583129576536,1788583129576467
CV3T561000H0,21,22,30,1788583129598581,1788583129574421,1788583129576691
CPBG1630011D,72,73,87,1788583129630468,1788583129609871,1788583129609802
CV3T561000H0,22,23,31,1788583129631968,1788583129607755,1788583129610027
CPBG1630011D,73,74,88,1788583129663501,1788583129643203,1788583129643134
CV3T561000H0,23,24,32,1788583129665468,1788583129641087,1788583129643360
CPBG1630011D,74,75,89,1788583129696831,1788583129676537,1788583129676468
CV3T561000H0,24,25,33,1788583129698711,1788583129674421,1788583129676695
CPBG1630011D,75,76,90,1788583129730317,1788583129709871,1788583129709801
CV3T561000H0,25,26,34,1788583129731782,1788583129707755,1788583129710030
CPBG1630011D,76,77,91,1788583129763635,1788583129743205,1788583129743135
CV3T561000H0,26,27,35,1788583129765305,1788583129741088,1788583129743364
CPBG1630011D,77,78,92,1788583129796991,1788583129776539,1788583129776467
CV3T561000H0,27,28,36,1788583129798699,1788583129774422,1788583129776699
CPBG1630011D,78,79,93,1788583129830185,1788583129809872,1788583129809799
CV3T561000H0,28,29,37,1788583129831910,1788583129807755,1788583129810033
CPBG1630011D,79,80,94,1788583129863647,1788583129843208,1788583129843133
CV3T561000H0,29,30,38,1788583129865448,1788583129841091,1788583129843370
CPBG1630011D,80,81,95,1788583129896979,1788583129876541,1788583129876464
CV3T561000H0,30,31,39,1788583129898578,1788583129874424,1788583129876704
CPBG1630011D,81,82,96,1788583129930328,1788583129909876,1788583129909795
CV3T561000H0,31,32,40,1788583129931919,1788583129907759,1788583129910038
CPBG1630011D,82,83,97,1788583129963639,1788583129943210,1788583129943125
CV3T561000H0,32,33,41,1788583129965432,1788583129941092,1788583129943373
CPBG1630011D,83,84,98,1788583129997006,1788583129976545,1788583129976456
CV3T561000H0,33,34,42,1788583129998713,1788583129974428,1788583129976708
CPBG1630011D,84,85,99,1788583130030299,1788583130009878,1788583130009785
CV3T561000H0,34,35,43,1788583130031942,1788583130007760,1788583130010041
CPBG1630011D,85,86,100,1788583130063523,1788583130043211,1788583130043113
CV3T561000H0,35,36,44,1788583130065274,1788583130041093,1788583130043373
CPBG1630011D,86,87,101,1788583130096839,1788583130076544,1788583130076442
CV3T561000H0,36,37,45,1788583130098687,1788583130074425,1788583130076706
CPBG1630011D,87,88,102,1788583130130305,1788583130109878,1788583130109770
CV3T561000H0,37,38,46,1788583130131921,1788583130107759,1788583130110041
CPBG1630011D,88,89,103,1788583130163634,1788583130143211,1788583130143099
CV3T561000H0,38,39,47,1788583130165295,1788583130141093,1788583130143377
CPBG1630011D,89,90,104,1788583130196985,1788583130176549,1788583130176432
CV3T561000H0,39,40,48,1788583130198454,1788583130174430,1788583130176717
CPBG1630011D,90,91,105,1788583130230180,1788583130209881,1788583130209757
CV3T561000H0,40,41,49,1788583130231899,1788583130207762,1788583130210053
CPBG1630011D,91,92,106,1788583130263512,1788583130243215,1788583130243086
CV3T561000H0,41,42,50,1788583130265496,1788583130241096,1788583130243389
CPBG1630011D,92,93,107,1788583130296851,1788583130276549,1788583130276416
CV3T561000H0,42,43,51,1788583130298791,1788583130274430,1788583130276727
CPBG1630011D,100,101,115,1788583130563626,1788583130543220,1788583130543052
CV3T561000H0,50,51,59,1788583130565151,1788583130541099,1788583130543439
CPBG1630011D,101,102,116,1788583130597193,1788583130576553,1788583130576381
CV3T561000H0,51,52,60,1788583130598554,1788583130574432,1788583130576778
CPBG1630011D,102,103,117,1788583130630328,1788583130609888,1788583130609715
CV3T561000H0,52,53,61,1788583130631895,1788583130607766,1788583130610119
CPBG1630011D,103,104,118,1788583130663628,1788583130643221,1788583130643046
CV3T561000H0,53,54,62,1788583130665142,1788583130641099,1788583130643456
CPBG1630011D,104,105,119,1788583130697105,1788583130676556,1788583130676381
CV3T561000H0,54,55,63,1788583130698461,1788583130674434,1788583130676797
CPBG1630011D,105,106,120,1788583130730324,1788583130709889,1788583130709712
CV3T561000H0,55,56,64,1788583130731923,1788583130707766,1788583130710135
CPBG1630011D,106,107,121,1788583130763635,1788583130743222,1788583130743045
CV3T561000H0,56,57,65,1788583130765152,1788583130741100,1788583130743473
CV3T561000B5,1474,1475,1483,1788583179698390,1788583179675575,1788583179676621
CV3T561000H0,1524,1525,1533,1788583179698390,1788583179674965,1788583179677005
CV3T561000B5,1475,1476,1484,1788583179731722,1788583179708910,1788583179709955
CV3T561000H0,1525,1526,1534,1788583179731732,1788583179708300,1788583179710339
CV3T561000B5,1501,1502,1510,1788583180598551,1788583180575584,1788583180576626
CV3T561000H0,1551,1552,1560,1788583180598417,1788583180574976,1788583180577024
CV3T561000B5,1504,1505,1513,1788583180698398,1788583180675583,1788583180676624
CV3T561000H0,1554,1555,1563,1788583180698447,1788583180674976,1788583180677024
