sn,rowId,swNum,hwNum,systemUs,deviceUs,globalUs
CPBG1630011D,67,68,69,1788583130026994,1788583130009904,1788583130009812
CV3T561000H0,21,22,27,1788583130026952,1788583130007761,1788583130010041
CPBG1630011D,68,69,70,1788583130060314,1788583130043237,1788583130043139
CV3T561000H0,22,23,28,1788583130060160,1788583130041094,1788583130043374
CPBG1630011D,69,70,71,1788583130093676,1788583130076570,1788583130076467
CV3T561000H0,23,24,29,1788583130093611,1788583130074426,1788583130076708
CPBG1630011D,70,71,72,1788583130126996,1788583130109904,1788583130109797
CV3T561000H0,24,25,30,1788583130126817,1788583130107760,1788583130110042
CPBG1630011D,71,72,73,1788583130160334,1788583130143237,1788583130143124
CV3T561000H0,25,26,31,1788583130160285,1788583130141093,1788583130143377
CPBG1630011D,72,73,74,1788583130193800,1788583130176575,1788583130176458
CV3T561000H0,26,27,32,1788583130193708,1788583130174431,1788583130176718
CPBG1630011D,73,74,75,1788583130227088,1788583130209907,1788583130209783
CV3T561000H0,27,28,33,1788583130226876,1788583130207763,1788583130210054
CPBG1630011D,74,75,76,1788583130260453,1788583130243241,1788583130243112
CV3T561000H0,28,29,34,1788583130260154,1788583130241096,1788583130243390
CPBG1630011D,75,76,77,1788583130293670,1788583130276575,1788583130276442
CV3T561000H0,29,30,35,1788583130293494,1788583130274430,1788583130276727
CPBG1630011D,76,77,78,1788583130327117,1788583130309908,1788583130309769
CV3T561000H0,30,31,36,1788583130326700,1788583130307763,1788583130310065
CPBG1630011D,77,78,79,1788583130360336,1788583130343241,1788583130343096
CV3T561000H0,31,32,37,1788583130360023,1788583130341096,1788583130343403
CPBG1630011D,78,79,80,1788583130393802,1788583130376576,1788583130376427
CV3T561000H0,32,33,38,1788583130393486,1788583130374430,1788583130376743
CPBG1630011D,79,80,81,1788583130427110,1788583130409909,1788583130409755
CV3T561000H0,33,34,39,1788583130427086,1788583130407763,1788583130410080
CPBG1630011D,80,81,82,1788583130460413,1788583130443243,1788583130443086
CV3T561000H0,34,35,40,1788583130460150,1788583130441097,1788583130443420
CPBG1630011D,81,82,83,1788583130493745,1788583130476577,1788583130476416
CV3T561000H0,35,36,41,1788583130493526,1788583130474431,1788583130476759
CPBG1630011D,82,83,84,1788583130527006,1788583130509910,1788583130509744
CV3T561000H0,36,37,42,1788583130526693,1788583130507764,1788583130510098
CPBG1630011D,83,84,85,1788583130560324,1788583130543246,1788583130543077
CV3T561000H0,37,38,43,1788583130560033,1788583130541100,1788583130543440
CPBG1630011D,84,85,86,1788583130593782,1788583130576580,1788583130576408
CV3T561000H0,38,39,44,1788583130593516,1788583130574433,1788583130576779
CPBG1630011D,85,86,87,1788583130627249,1788583130609914,1788583130609740
CV3T561000H0,39,40,45,1788583130627015,1788583130607767,1788583130610120
CPBG1630011D,86,87,88,1788583130660446,1788583130643247,1788583130643072
CV3T561000H0,40,41,46,1788583130660176,1788583130641100,1788583130643457
CPBG1630011D,87,88,89,1788583130693666,1788583130676582,1788583130676406
CV3T561000H0,41,42,47,1788583130693863,1788583130674435,1788583130676798
CPBG1630011D,88,89,90,1788583130726985,1788583130709915,1788583130709739
CV3T561000H0,42,43,48,1788583130726949,1788583130707767,1788583130710136
CPBG1630011D,89,90,91,1788583130760465,1788583130743248,1788583130743071
CV3T561000H0,43,44,49,1788583130760032,1788583130741100,1788583130743473
CPBG1630011D,90,91,92,1788583130793788,1788583130776583,1788583130776406
CV3T561000H0,44,45,50,1788583130793513,1788583130774436,1788583130776814
CPBG1630011D,91,92,93,1788583130826996,1788583130809916,1788583130809740
CV3T561000H0,45,46,51,1788583130826822,1788583130807768,1788583130810151
CPBG1630011D,92,93,94,1788583130860441,1788583130843253,1788583130843079
CV3T561000H0,46,47,52,1788583130860283,1788583130841105,1788583130843491
CPBG1630011D,93,94,95,1788583130893810,1788583130876587,1788583130876413
CV3T561000H0,47,48,53,1788583130893506,1788583130874438,1788583130876828
CPBG1630011D,94,95,96,1788583130927016,1788583130909919,1788583130909746
CV3T561000H0,48,49,54,1788583130926860,1788583130907770,1788583130910163
CPBG1630011D,95,96,97,1788583130960432,1788583130943252,1788583130943080
CV3T561000H0,49,50,55,1788583130960169,1788583130941103,1788583130943498
