deviceIndex,streamType,hwTimestampUs,globalTimestampUs,sysTimestampUs
0,DEPTH,1786100275369939,1786100275373291,1786100275519933
0,DEPTH,1786100275436468,1786100275439812,1786100276056003
0,DEPTH,1786100275499828,1786100275503165,1786100276058114
0,DEPTH,1786100275566482,1786100275569812,1786100276060211
0,DEPTH,1786100275903133,1786100275906427,1786100276062277
0,DEPTH,1786100275969800,1786100275973087,1786100276064355
0,DEPTH,1786100276036454,1786100276039733,1786100276066413
0,DEPTH,1786100276103128,1786100276106400,1786100276127227
0,DEPTH,1786100276169796,1786100276173061,1786100276193728
0,DEPTH,1786100276236480,1786100276239738,1786100276260218
0,DEPTH,1786100276303133,1786100276306383,1786100276326811
0,DEPTH,1786100276369792,1786100276373035,1786100276393723
0,DEPTH,1786100276436462,1786100276439698,1786100276460515
0,DEPTH,1786100276503116,1786100276506345,1786100276526991
0,DEPTH,1786100276569795,1786100276573017,1786100276593832
0,DEPTH,1786100276636468,1786100276639682,1786100276660498
0,DEPTH,1786100276703129,1786100276706336,1786100276726901
0,DEPTH,1786100276769785,1786100276772985,1786100276793688
0,DEPTH,1786100276836457,1786100276839650,1786100276860354
0,DEPTH,1786100276903126,1786100276906311,1786100276926997
0,DEPTH,1786100276969789,1786100276972967,1786100276993618
0,DEPTH,1786100277036464,1786100277039635,1786100277060389
0,DEPTH,1786100277103126,1786100277106290,1786100277127003
0,DEPTH,1786100277169774,1786100277172930,1786100277193839
0,DEPTH,1786100277236461,1786100277239610,1786100277260486
0,DEPTH,1786100277303119,1786100277306633,1786100277327104
0,DEPTH,1786100277369789,1786100277373303,1786100277393797
0,DEPTH,1786100277436468,1786100277439983,1786100277460187
0,DEPTH,1786100277503115,1786100277506631,1786100277526739
0,DEPTH,1786100277569784,1786100277573301,1786100277594026
0,DEPTH,1786100277636446,1786100277639963,1786100277660457
0,DEPTH,1786100277703117,1786100277706635,1786100277727100
0,DEPTH,1786100277769793,1786100277773311,1786100277793727
0,DEPTH,1786100277836452,1786100277839971,1786100277860712
0,DEPTH,1786100277903119,1786100277906639,1786100277926639
0,DEPTH,1786100277969771,1786100277973291,1786100277993662
0,DEPTH,1786100278036455,1786100278039976,1786100278060167
0,DEPTH,1786100278103112,1786100278106633,1786100278126643
0,DEPTH,1786100278169778,1786100278173300,1786100278193480
0,DEPTH,1786100278236448,1786100278239971,1786100278259962
0,DEPTH,1786100278303111,1786100278306634,1786100278326579
0,DEPTH,1786100278369780,1786100278373304,1786100278393584
0,DEPTH,1786100278436448,1786100278439973,1786100278460129
0,DEPTH,1786100278436448,1786100278439973,1786100278527143
0,DEPTH,1786100278569774,1786100278573300,1786100278593724
