groupId,deviceIndex,deviceSN,deviceTimestampUs,fileName
360,0,CV3T561000B5,1787132606037545,Device0_frame_000120_1787132606037545.png
361,1,CV3T561000H0,1787132606037624,Device1_frame_000120_1787132606037624.png
362,2,CPBG1630011D,1787132606040258,Device2_frame_000120_1787132606040258.png
363,2,CPBG1630011D,1787132606073588,Device2_frame_000121_1787132606073588.png
364,1,CV3T561000H0,1787132606070953,Device1_frame_000121_1787132606070953.png
365,0,CV3T561000B5,1787132606070875,Device0_frame_000121_1787132606070875.png
366,2,CPBG1630011D,1787132606106922,Device2_frame_000122_1787132606106922.png
367,1,CV3T561000H0,1787132606104287,Device1_frame_000122_1787132606104287.png
368,0,CV3T561000B5,1787132606104208,Device0_frame_000122_1787132606104208.png
369,2,CPBG1630011D,1787132606140259,Device2_frame_000123_1787132606140259.png
370,0,CV3T561000B5,1787132606137545,Device0_frame_000123_1787132606137545.png
371,1,CV3T561000H0,1787132606137624,Device1_frame_000123_1787132606137624.png
372,2,CPBG1630011D,1787132606173600,Device2_frame_000124_1787132606173600.png
373,1,CV3T561000H0,1787132606170965,Device1_frame_000124_1787132606170965.png
374,0,CV3T561000B5,1787132606170886,Device0_frame_000124_1787132606170886.png
375,0,CV3T561000B5,1787132606204209,Device0_frame_000125_1787132606204209.png
376,2,CPBG1630011D,1787132606206924,Device2_frame_000125_1787132606206924.png
377,1,CV3T561000H0,1787132606204289,Device1_frame_000125_1787132606204289.png
378,2,CPBG1630011D,1787132606240260,Device2_frame_000126_1787132606240260.png
379,1,CV3T561000H0,1787132606237624,Device1_frame_000126_1787132606237624.png
380,0,CV3T561000B5,1787132606237545,Device0_frame_000126_1787132606237545.png
381,2,CPBG1630011D,1787132606273604,Device2_frame_000127_1787132606273604.png
382,0,CV3T561000B5,1787132606270890,Device0_frame_000127_1787132606270890.png
383,1,CV3T561000H0,1787132606270969,Device1_frame_000127_1787132606270969.png
384,2,CPBG1630011D,1787132606306928,Device2_frame_000128_1787132606306928.png
385,1,CV3T561000H0,1787132606304292,Device1_frame_000128_1787132606304292.png
386,0,CV3T561000B5,1787132606270890,Device0_frame_000128_1787132606270890.png
387,2,CPBG1630011D,1787132606340262,Device2_frame_000129_1787132606340262.png
388,1,CV3T561000H0,1787132606337626,Device1_frame_000129_1787132606337626.png
389,0,CV3T561000B5,1787132606337547,Device0_frame_000129_1787132606337547.png
390,1,CV3T561000H0,1787132606370956,Device1_frame_000130_1787132606370956.png
391,2,CPBG1630011D,1787132606373593,Device2_frame_000130_1787132606373593.png
392,0,CV3T561000B5,1787132606370877,Device0_frame_000130_1787132606370877.png
393,2,CPBG1630011D,1787132606406939,Device2_frame_000131_1787132606406939.png
394,1,CV3T561000H0,1787132606404302,Device1_frame_000131_1787132606404302.png
395,0,CV3T561000B5,1787132606404223,Device0_frame_000131_1787132606404223.png
396,1,CV3T561000H0,1787132606437626,Device1_frame_000132_1787132606437626.png
397,0,CV3T561000B5,1787132606437547,Device0_frame_000132_1787132606437547.png
398,2,CPBG1630011D,1787132606440263,Device2_frame_000132_1787132606440263.png
399,1,CV3T561000H0,1787132606470959,Device1_frame_000133_1787132606470959.png
400,2,CPBG1630011D,1787132606473596,Device2_frame_000133_1787132606473596.png
401,0,CV3T561000B5,1787132606470879,Device0_frame_000133_1787132606470879.png
402,1,CV3T561000H0,1787132606504298,Device1_frame_000134_1787132606504298.png
403,2,CPBG1630011D,1787132606506935,Device2_frame_000134_1787132606506935.png
404,0,CV3T561000B5,1787132606504218,Device0_frame_000134_1787132606504218.png
405,0,CV3T561000B5,1787132606537543,Device0_frame_000135_1787132606537543.png
406,1,CV3T561000H0,1787132606537623,Device1_frame_000135_1787132606537623.png
407,2,CPBG1630011D,1787132606540260,Device2_frame_000135_1787132606540260.png
408,1,CV3T561000H0,1787132606570960,Device1_frame_000136_1787132606570960.png
409,2,CPBG1630011D,1787132606573597,Device2_frame_000136_1787132606573597.png
410,0,CV3T561000B5,1787132606570880,Device0_frame_000136_1787132606570880.png
411,0,CV3T561000B5,1787132606604217,Device0_frame_000137_1787132606604217.png
412,1,CV3T561000H0,1787132606604297,Device1_frame_000137_1787132606604297.png
413,2,CPBG1630011D,1787132606606935,Device2_frame_000137_1787132606606935.png
414,0,CV3T561000B5,1787132606637545,Device0_frame_000138_1787132606637545.png
415,2,CPBG1630011D,1787132606640263,Device2_frame_000138_1787132606640263.png
416,1,CV3T561000H0,1787132606637625,Device1_frame_000138_1787132606637625.png
417,0,CV3T561000B5,1787132606670883,Device0_frame_000139_1787132606670883.png
418,2,CPBG1630011D,1787132606673601,Device2_frame_000139_1787132606673601.png
419,1,CV3T561000H0,1787132606670963,Device1_frame_000139_1787132606670963.png
420,0,CV3T561000B5,1787132606670883,Device0_frame_000140_1787132606670883.png
421,1,CV3T561000H0,1787132606704292,Device1_frame_000140_1787132606704292.png
422,2,CPBG1630011D,1787132606706931,Device2_frame_000140_1787132606706931.png
423,0,CV3T561000B5,1787132606737543,Device0_frame_000141_1787132606737543.png
424,1,CV3T561000H0,1787132606737624,Device1_frame_000141_1787132606737624.png
425,2,CPBG1630011D,1787132606740262,Device2_frame_000141_1787132606740262.png
426,1,CV3T561000H0,1787132606770959,Device1_frame_000142_1787132606770959.png
427,2,CPBG1630011D,1787132606773597,Device2_frame_000142_1787132606773597.png
428,0,CV3T561000B5,1787132606770878,Device0_frame_000142_1787132606770878.png
429,0,CV3T561000B5,1787132606804216,Device0_frame_000143_1787132606804216.png
430,2,CPBG1630011D,1787132606806936,Device2_frame_000143_1787132606806936.png
431,1,CV3T561000H0,1787132606804297,Device1_frame_000143_1787132606804297.png
432,1,CV3T561000H0,1787132606837626,Device1_frame_000144_1787132606837626.png
433,2,CPBG1630011D,1787132606840265,Device2_frame_000144_1787132606840265.png
434,0,CV3T561000B5,1787132606837545,Device0_frame_000144_1787132606837545.png
