sn,sensor,frameNumSource,missingFrameNum
CPBG1630011D,depth,hw,21464
CPBG1630011D,depth,hw,21497
CPBG1630011D,depth,hw,21713
CPBG1630011D,depth,hw,21976
CPBG1630011D,depth,hw,22075
CPBG1630011D,depth,hw,22208
CPBG1630011D,depth,hw,22297
CPBG1630011D,depth,hw,22445
CPBG1630011D,depth,hw,22530
CPBG1630011D,depth,hw,22735
CPBG1630011D,depth,hw,23008
CPBG1630011D,depth,hw,23029
CPBG1630011D,depth,hw,23252
CPBG1630011D,depth,hw,23302
CPBG1630011D,depth,hw,23436
CPBG1630011D,depth,hw,23911
CPBG1630011D,depth,hw,24029
CPBG1630011D,depth,hw,24053
CPBG1630011D,depth,hw,24141
CPBG1630011D,depth,hw,24950
CPBG1630011D,depth,hw,25746
CPBG1630011D,depth,hw,25830
CPBG1630011D,depth,hw,25916
CPBG1630011D,depth,hw,26030
CPBG1630011D,depth,hw,26138
CPBG1630011D,depth,hw,26302
CPBG1630011D,depth,hw,26336
CPBG1630011D,depth,hw,26642
CPBG1630011D,depth,hw,26818
CPBG1630011D,depth,hw,26867
CPBG1630011D,depth,hw,27041
CPBG1630011D,depth,hw,27395
CPBG1630011D,depth,hw,27442
CPBG1630011D,depth,hw,27603
CPBG1630011D,depth,hw,27730
CPBG1630011D,depth,hw,27787
CPBG1630011D,depth,hw,27792
CPBG1630011D,depth,hw,28035
CPBG1630011D,depth,hw,28066
CPBG1630011D,depth,hw,28091
CPBG1630011D,depth,hw,28108
CPBG1630011D,depth,hw,28191
CPBG1630011D,depth,hw,28207
CPBG1630011D,depth,hw,28497
CPBG1630011D,depth,hw,28560
CPBG1630011D,depth,hw,28579
CPBG1630011D,depth,hw,28590
CPBG1630011D,depth,hw,28644
CPBG1630011D,depth,hw,28661
CPBG1630011D,depth,hw,28777
CPBG1630011D,depth,hw,28815
CPBG1630011D,depth,hw,28849
CPBG1630011D,depth,hw,28941
CPBG1630011D,depth,hw,29084
CPBG1630011D,depth,hw,29384
CPBG1630011D,depth,hw,29674
CPBG1630011D,depth,hw,29860
CPBG1630011D,depth,hw,29879
CPBG1630011D,depth,hw,30577
CPBG1630011D,depth,hw,30584
CPBG1630011D,depth,hw,30632
CPBG1630011D,depth,hw,30737
CPBG1630011D,depth,hw,30832
CPBG1630011D,depth,hw,30848
CPBG1630011D,depth,hw,30956
CPBG1630011D,depth,hw,30990
CPBG1630011D,depth,hw,30999
CPBG1630011D,depth,hw,31078
CPBG1630011D,depth,hw,31144
CPBG1630011D,depth,hw,31189
CPBG1630011D,depth,hw,31494
CPBG1630011D,depth,hw,31638
CPBG1630011D,depth,hw,31656
CPBG1630011D,depth,hw,31806
CPBG1630011D,depth,hw,31980
CPBG1630011D,depth,hw,32169
CPBG1630011D,depth,hw,32300
CPBG1630011D,depth,hw,32321
CPBG1630011D,depth,hw,32346
CPBG1630011D,depth,hw,32364
