deviceIndex,streamType,hwTimestampUs,globalTimestampUs,sysTimestampUs
1,DEPTH,1787122236736159,1787122236739378,1787122236760677
1,DEPTH,1787122236769489,1787122236772705,1787122236793795
1,DEPTH,1787122236802823,1787122236806036,1787122236827163
1,DEPTH,1787122236836159,1787122236839369,1787122236861113
1,DEPTH,1787122236869498,1787122236872705,1787122236893803
1,DEPTH,1787122236902828,1787122236906033,1787122236927170
1,DEPTH,1787122236936156,1787122236939358,1787122236960496
1,DEPTH,1787122236969496,1787122236972695,1787122236993949
1,DEPTH,1787122237002827,1787122237006023,1787122237027657
1,DEPTH,1787122237036171,1787122237039364,1787122237060433
1,DEPTH,1787122237069496,1787122237072686,1787122237094236
1,DEPTH,1787122237102826,1787122237106013,1787122237127186
1,DEPTH,1787122237136160,1787122237139344,1787122237160543
1,DEPTH,1787122237169496,1787122237172677,1787122237193849
1,DEPTH,1787122237202830,1787122237206008,1787122237227168
1,DEPTH,1787122237236162,1787122237239338,1787122237260567
1,DEPTH,1787122237269495,1787122237272668,1787122237293817
1,DEPTH,1787122237302835,1787122237306005,1787122237327478
1,DEPTH,1787122237336168,1787122237339335,1787122237360495
1,DEPTH,1787122237369497,1787122237372661,1787122237393971
1,DEPTH,1787122237402827,1787122237405988,1787122237427277
1,DEPTH,1787122237436160,1787122237439318,1787122237460476
1,DEPTH,1787122237469492,1787122237472647,1787122237493776
1,DEPTH,1787122237502826,1787122237505978,1787122237527109
1,DEPTH,1787122237536159,1787122237539308,1787122237560484
1,DEPTH,1787122237569498,1787122237572644,1787122237593812
1,DEPTH,1787122237602826,1787122237605969,1787122237627099
1,DEPTH,1787122237636160,1787122237639301,1787122237660523
1,DEPTH,1787122237669493,1787122237673172,1787122237695930
1,DEPTH,1787122237702830,1787122237706509,1787122237727259
1,DEPTH,1787122237736163,1787122237739843,1787122237760433
1,DEPTH,1787122237769497,1787122237773177,1787122237794054
1,DEPTH,1787122237802832,1787122237806512,1787122237827409
1,DEPTH,1787122237836164,1787122237839844,1787122237860449
1,DEPTH,1787122237869500,1787122237873181,1787122237893776
1,DEPTH,1787122237902844,1787122237906525,1787122237927121
1,DEPTH,1787122237936165,1787122237939846,1787122237960592
1,DEPTH,1787122237969497,1787122237973179,1787122237993764
1,DEPTH,1787122238002833,1787122238006515,1787122238027140
1,DEPTH,1787122238036166,1787122238039848,1787122238060459
1,DEPTH,1787122238069505,1787122238073187,1787122238093914
1,DEPTH,1787122238102834,1787122238106517,1787122238127250
1,DEPTH,1787122238136168,1787122238139851,1787122238160437
1,DEPTH,1787122238136168,1787122238139851,1787122238193909
1,DEPTH,1787122238169502,1787122238173185,1787122238227110
1,DEPTH,1787122238236175,1787122238239859,1787122238260887
1,DEPTH,1787122238269508,1787122238273192,1787122238293827
1,DEPTH,1787122238302835,1787122238306519,1787122238327140
1,DEPTH,1787122238336168,1787122238339852,1787122238360501
1,DEPTH,1787122238369501,1787122238373186,1787122238393779
1,DEPTH,1787122238402834,1787122238406519,1787122238427090
1,DEPTH,1787122238436177,1787122238439862,1787122238460431
1,DEPTH,1787122238469504,1787122238473189,1787122238493932
1,DEPTH,1787122238469504,1787122238473189,1787122238527228
1,DEPTH,1787122238536176,1787122238539862,1787122238560456
1,DEPTH,1787122238569504,1787122238573190,1787122238593772
1,DEPTH,1787122238602840,1787122238606527,1787122238627169
1,DEPTH,1787122238636172,1787122238639859,1787122238660484
1,DEPTH,1787122238669507,1787122238673194,1787122238693975
1,DEPTH,1787122238702841,1787122238706563,1787122238727123
1,DEPTH,1787122238736172,1787122238739894,1787122238760449
1,DEPTH,1787122238769505,1787122238773228,1787122238793825
1,DEPTH,1787122238802838,1787122238806561,1787122238827378
1,DEPTH,1787122238836173,1787122238839896,1787122238860436
1,DEPTH,1787122238869507,1787122238873231,1787122238893764
1,DEPTH,1787122238902844,1787122238906568,1787122238927128
1,DEPTH,1787122238936175,1787122238939900,1787122238960416
1,DEPTH,1787122238969508,1787122238973233,1787122238993780
1,DEPTH,1787122239002842,1787122239006568,1787122239027122
