deviceIndex,streamType,hwTimestampUs,globalTimestampUs,sysTimestampUs,frameNumber,,device1 globaltime ,device2 globaltime,device2-device0,device2-device1
0,DEPTH,1787124604457854,1787124604460708,1787124604481749,60,,1787124604460612,1787124604460128,-580,-490
0,DEPTH,1787124604491187,1787124604494042,1787124604515379,61,,1787124604493945,1787124604493454,-590,-490
0,DEPTH,1787124604524527,1787124604527383,1787124604548377,62,,1787124604527284,1787124604526788,-600,-500
0,DEPTH,1787124604557854,1787124604560711,1787124604581650,63,,1787124604560611,1787124604560110,-600,-500
0,DEPTH,1787124604591195,1787124604594053,1787124604615140,64,,1787124604593952,1787124604560110,-33940,-33840
0,DEPTH,1787124604624519,1787124604627378,1787124604648332,65,,1787124604627276,1787124604626763,-610,-510
0,DEPTH,1787124604657850,1787124604660710,1787124604681652,66,,1787124604660605,1787124604660086,-630,-520
0,DEPTH,1787124604691198,1787124604694059,1787124604715032,67,,1787124604693953,1787124604693429,-630,-530
0,DEPTH,1787124604724524,1787124604727385,1787124604748459,68,,1787124604727279,1787124604726749,-640,-530
0,DEPTH,1787124604757850,1787124604760712,1787124604782027,69,,1787124604760604,1787124604760068,-650,-540
0,DEPTH,1787124604791188,1787124604794051,1787124604815029,70,,1787124604793942,1787124604793401,-650,-540
0,DEPTH,1787124604824523,1787124604827387,1787124604848427,71,,1787124604827276,1787124604826729,-660,-550
0,DEPTH,1787124604857860,1787124604860725,1787124604881656,72,,1787124604860613,1787124604860061,-660,-550
0,DEPTH,1787124604891190,1787124604894056,1787124604914999,73,,1787124604893942,1787124604893384,-670,-560
0,DEPTH,1787124604924533,1787124604927400,1787124604948569,74,,1787124604927285,1787124604926721,-680,-560
0,DEPTH,1787124604957857,1787124604960725,1787124604981890,75,,1787124604960608,1787124604960039,-690,-570
0,DEPTH,1787124604991198,1787124604994067,1787124605015328,76,,1787124604993949,1787124604993374,-690,-570
0,DEPTH,1787124605024533,1787124605027402,1787124605048401,77,,1787124605027283,1787124605026702,-700,-580
0,DEPTH,1787124605024533,1787124605027402,1787124605081811,78,,1787124605060610,1787124605060025,32620,-590
0,DEPTH,1787124605091191,1787124605094062,1787124605114909,79,,1787124605093941,1787124605093348,-720,-600
