deviceIndex,streamType,hwTimestampUs,globalTimestampUs,sysTimestampUs
0,DEPTH,1787035741192667,1787035741194930,1787035741282559
0,DEPTH,1787035741292643,1787035741294790,1787035741817796
0,DEPTH,1787035741692578,1787035741694260,1787035741819919
0,DEPTH,1787035741792584,1787035741794150,1787035741822013
0,DEPTH,1787035741892575,1787035741894025,1787035741916680
0,DEPTH,1787035741992573,1787035741993907,1787035742016626
0,DEPTH,1787035742092575,1787035742093793,1787035742116956
0,DEPTH,1787035742192703,1787035742193804,1787035742217042
0,DEPTH,1787035742292581,1787035742293566,1787035742317012
0,DEPTH,1787035742392585,1787035742393454,1787035742416650
0,DEPTH,1787035742492582,1787035742493335,1787035742517317
0,DEPTH,1787035742592585,1787035742593222,1787035742616654
0,DEPTH,1787035742692584,1787035742693105,1787035742716544
0,DEPTH,1787035742792582,1787035742792987,1787035742817018
0,DEPTH,1787035742892586,1787035742892875,1787035742917067
0,DEPTH,1787035742992601,1787035742992774,1787035743017076
0,DEPTH,1787035743092750,1787035743095374,1787035743117112
0,DEPTH,1787035743192583,1787035743195172,1787035743217143
0,DEPTH,1787035743292584,1787035743295137,1787035743316574
0,DEPTH,1787035743392585,1787035743395103,1787035743416817
0,DEPTH,1787035743492587,1787035743495070,1787035743517158
0,DEPTH,1787035743592593,1787035743595040,1787035743616798
0,DEPTH,1787035743692591,1787035743695003,1787035743716644
0,DEPTH,1787035743792593,1787035743794970,1787035743816721
0,DEPTH,1787035743892583,1787035743894924,1787035743916680
0,DEPTH,1787035743992584,1787035743994890,1787035744016927
0,DEPTH,1787035744092590,1787035744094861,1787035744116793
0,DEPTH,1787035744192596,1787035744194831,1787035744216527
0,DEPTH,1787035744292592,1787035744294792,1787035744316533
0,DEPTH,1787035744392587,1787035744395910,1787035744416734
0,DEPTH,1787035744492594,1787035744495909,1787035744516719
0,DEPTH,1787035744592597,1787035744595903,1787035744616746
0,DEPTH,1787035744692596,1787035744695894,1787035744716717
0,DEPTH,1787035744792598,1787035744795887,1787035744816738
0,DEPTH,1787035744892597,1787035744895878,1787035744917045
0,DEPTH,1787035744992599,1787035744995871,1787035745016998
0,DEPTH,1787035745092600,1787035745095864,1787035745116732
0,DEPTH,1787035745192604,1787035745195859,1787035745216747
0,DEPTH,1787035745292604,1787035745295851,1787035745316827
0,DEPTH,1787035745392605,1787035745396034,1787035745416575
0,DEPTH,1787035745492602,1787035745496027,1787035745516762
0,DEPTH,1787035745592601,1787035745596021,1787035745616722
0,DEPTH,1787035745692606,1787035745696021,1787035745716739
0,DEPTH,1787035745792605,1787035745796015,1787035745817379
0,DEPTH,1787035745892608,1787035745896013,1787035745916888
0,DEPTH,1787035745992610,1787035745996011,1787035746016675
0,DEPTH,1787035746092608,1787035746096004,1787035746116791
0,DEPTH,1787035746192607,1787035746195998,1787035746216712
0,DEPTH,1787035746292608,1787035746295994,1787035746317070
0,DEPTH,1787035746392611,1787035746396324,1787035746416910
0,DEPTH,1787035746492614,1787035746496327,1787035746516664
0,DEPTH,1787035746592610,1787035746596324,1787035746616909
0,DEPTH,1787035746692609,1787035746696324,1787035746716617
0,DEPTH,1787035746792620,1787035746796336,1787035746816791
0,DEPTH,1787035746892610,1787035746896326,1787035746916898
0,DEPTH,1787035746992615,1787035746996332,1787035747016660
0,DEPTH,1787035747092614,1787035747096332,1787035747116661
0,DEPTH,1787035747192628,1787035747196346,1787035747216874
0,DEPTH,1787035747292616,1787035747296335,1787035747316928
0,DEPTH,1787035747392616,1787035747395531,1787035747416845
0,DEPTH,1787035747492613,1787035747495517,1787035747516828
0,DEPTH,1787035747592767,1787035747595660,1787035747616972
0,DEPTH,1787035747692639,1787035747695521,1787035747717019
0,DEPTH,1787035747792612,1787035747795483,1787035747816970
0,COLOR,1787035742292638,1787035742293623,1787035742312049
0,COLOR,1787035742392642,1787035742393511,1787035742412290
0,COLOR,1787035742492640,1787035742493393,1787035742512303
0,COLOR,1787035742592643,1787035742593280,1787035742612223
0,COLOR,1787035742692641,1787035742693162,1787035742711744
0,COLOR,1787035742792640,1787035742793045,1787035742812353
0,COLOR,1787035742892644,1787035742892933,1787035742912326
0,COLOR,1787035742992659,1787035742992831,1787035743012263
0,COLOR,1787035743092807,1787035743095431,1787035743113748
0,COLOR,1787035743192640,1787035743195228,1787035743212134
0,COLOR,1787035743292642,1787035743295195,1787035743312272
0,COLOR,1787035743392643,1787035743395161,1787035743412111
0,COLOR,1787035743492645,1787035743495128,1787035743511936
0,COLOR,1787035743592651,1787035743595098,1787035743612130
0,COLOR,1787035743692649,1787035743695061,1787035743712384
0,COLOR,1787035743792651,1787035743795028,1787035743812347
0,COLOR,1787035743892640,1787035743894981,1787035743911846
0,COLOR,1787035743992641,1787035743994947,1787035744011952
0,COLOR,1787035744092648,1787035744094918,1787035744112300
0,COLOR,1787035744192654,1787035744194889,1787035744212686
0,COLOR,1787035744292650,1787035744294850,1787035744311951
0,COLOR,1787035744392645,1787035744395968,1787035744411831
0,COLOR,1787035744492651,1787035744495966,1787035744512108
0,COLOR,1787035744592655,1787035744595961,1787035744611969
0,COLOR,1787035744692654,1787035744695952,1787035744712047
0,COLOR,1787035744792656,1787035744795945,1787035744812018
0,COLOR,1787035744892654,1787035744895935,1787035744911938
0,COLOR,1787035744992657,1787035744995929,1787035745011871
0,COLOR,1787035745092657,1787035745095921,1787035745112280
0,COLOR,1787035745192662,1787035745195917,1787035745212332
0,COLOR,1787035745292662,1787035745295909,1787035745312434
0,COLOR,1787035745392662,1787035745396092,1787035745412067
0,COLOR,1787035745492660,1787035745496085,1787035745512365
0,COLOR,1787035745592659,1787035745596079,1787035745612163
0,COLOR,1787035745692663,1787035745696078,1787035745712252
0,COLOR,1787035745792663,1787035745796073,1787035745812368
0,COLOR,1787035745892665,1787035745896070,1787035745912057
0,COLOR,1787035745992667,1787035745996068,1787035746011978
0,COLOR,1787035746092666,1787035746096062,1787035746112361
0,COLOR,1787035746192665,1787035746196056,1787035746212105
0,COLOR,1787035746292666,1787035746296052,1787035746312492
0,COLOR,1787035746392669,1787035746396382,1787035746412447
0,COLOR,1787035746492671,1787035746496384,1787035746512026
0,COLOR,1787035746592667,1787035746596381,1787035746612257
0,COLOR,1787035746692667,1787035746696382,1787035746712141
0,COLOR,1787035746792678,1787035746796394,1787035746812156
0,COLOR,1787035746892668,1787035746896384,1787035746911851
0,COLOR,1787035746992673,1787035746996390,1787035747012029
0,COLOR,1787035747092671,1787035747096389,1787035747112014
0,COLOR,1787035747192686,1787035747196404,1787035747211884
0,COLOR,1787035747292673,1787035747296392,1787035747312033
0,COLOR,1787035747392674,1787035747395589,1787035747412008
0,COLOR,1787035747492671,1787035747495575,1787035747512161
0,COLOR,1787035747592825,1787035747595718,1787035747612001
0,COLOR,1787035747692697,1787035747695579,1787035747711850
0,COLOR,1787035747792670,1787035747795541,1787035747811802
1,DEPTH,1787035742392901,1787035742393644,1787035742520926
1,DEPTH,1787035742492899,1787035742493530,1787035743060341
1,DEPTH,1787035742592902,1787035742593421,1787035743062460
1,DEPTH,1787035742992919,1787035742992989,1787035743064527
1,DEPTH,1787035743093068,1787035743093026,1787035743117162
1,DEPTH,1787035743192901,1787035743192747,1787035743216956
1,DEPTH,1787035743292903,1787035743292637,1787035743316925
1,DEPTH,1787035743392904,1787035743392526,1787035743416683
1,DEPTH,1787035743492907,1787035743492417,1787035743516690
1,DEPTH,1787035743592913,1787035743592310,1787035743616992
1,DEPTH,1787035743692911,1787035743692197,1787035743716654
1,DEPTH,1787035743792913,1787035743792086,1787035743817096
1,DEPTH,1787035743892903,1787035743891964,1787035743916839
1,DEPTH,1787035743992904,1787035743991853,1787035744016593
1,DEPTH,1787035744092911,1787035744091748,1787035744116737
1,DEPTH,1787035744192917,1787035744191642,1787035744216917
1,DEPTH,1787035744292914,1787035744291527,1787035744316869
1,DEPTH,1787035744392909,1787035744394917,1787035744416692
1,DEPTH,1787035744492916,1787035744494899,1787035744516924
1,DEPTH,1787035744592919,1787035744594877,1787035744616644
1,DEPTH,1787035744692918,1787035744694851,1787035744716744
