comparison_type,device_i,device_j,stream,hw_diff_us,sys_diff_us,timestamp_us
cross_stream,0,0,depth+color,5,0,1784283613131989
cross_stream,0,0,depth+color,4,0,1784283613165015
cross_stream,0,0,depth+color,5,0,1784283613198783
cross_stream,0,0,depth+color,4,0,1784283613231998
cross_stream,0,0,depth+color,5,0,1784283613265209
cross_stream,0,0,depth+color,4,0,1784283613298925
cross_stream,0,0,depth+color,5,0,1784283613332026
cross_stream,0,0,depth+color,5,0,1784283613365589
cross_stream,0,0,depth+color,4,0,1784283613398935
cross_stream,0,0,depth+color,4,0,1784283613433143
cross_stream,0,0,depth+color,5,0,1784283613465201
cross_stream,0,0,depth+color,5,0,1784283613498641
cross_stream,0,0,depth+color,5,0,1784283613531867
cross_stream,0,0,depth+color,5,0,1784283613565317
cross_stream,0,0,depth+color,5,0,1784283613598636
cross_stream,0,0,depth+color,5,0,1784283613632352
cross_stream,0,0,depth+color,4,0,1784283613665261
cross_stream,0,0,depth+color,5,0,1784283613698743
cross_stream,0,0,depth+color,4,0,1784283613731966
cross_stream,0,0,depth+color,5,0,1784283613767444
cross_stream,0,0,depth+color,5,0,1784283613798584
cross_stream,0,0,depth+color,4,0,1784283613832152
cross_stream,0,0,depth+color,5,0,1784283613865551
cross_stream,0,0,depth+color,5,0,1784283613898820
cross_stream,0,0,depth+color,4,0,1784283613932017
cross_stream,0,0,depth+color,4,0,1784283613965616
cross_stream,0,0,depth+color,5,0,1784283613998450
cross_stream,0,0,depth+color,4,0,1784283614031933
cross_stream,0,0,depth+color,5,0,1784283614065796
cross_stream,0,0,depth+color,5,0,1784283614098927
cross_stream,0,0,depth+color,5,0,1784283614131989
cross_stream,0,0,depth+color,4,0,1784283614165560
cross_stream,0,0,depth+color,5,0,1784283614198840
cross_stream,0,0,depth+color,5,0,1784283614231880
cross_stream,0,0,depth+color,5,0,1784283614265162
cross_stream,0,0,depth+color,4,0,1784283614298500
cross_stream,0,0,depth+color,5,0,1784283614331832
cross_stream,0,0,depth+color,4,0,1784283614365228
cross_stream,0,0,depth+color,5,0,1784283614398511
cross_stream,0,0,depth+color,4,0,1784283614431874
cross_stream,0,0,depth+color,5,0,1784283614465183
cross_stream,0,0,depth+color,5,0,1784283614498527
cross_stream,0,0,depth+color,5,0,1784283614533446
cross_stream,0,0,depth+color,5,0,1784283614565541
cross_stream,0,0,depth+color,4,0,1784283614600933
cross_stream,0,0,depth+color,5,0,1784283614631754
cross_stream,0,0,depth+color,5,0,1784283614665384
cross_stream,0,0,depth+color,5,0,1784283614698725
cross_stream,0,0,depth+color,5,0,1784283614734986
cross_stream,0,0,depth+color,5,0,1784283614765336
cross_stream,0,0,depth+color,5,0,1784283614799043
cross_stream,0,0,depth+color,5,0,1784283614832612
cross_stream,0,0,depth+color,5,0,1784283614865532
cross_stream,0,0,depth+color,5,0,1784283614898915
cross_stream,0,0,depth+color,5,0,1784283614932044
cross_stream,0,0,depth+color,5,0,1784283614965523
cross_stream,0,0,depth+color,5,0,1784283614998520
cross_stream,0,0,depth+color,4,0,1784283615032217
cross_stream,0,0,depth+color,5,0,1784283615065445
cross_stream,0,0,depth+color,5,0,1784283615098906
cross_stream,0,0,depth+color,4,0,1784283615132222
cross_stream,0,0,depth+color,5,0,1784283615165459
cross_stream,0,0,depth+color,5,0,1784283615199043
cross_stream,0,0,depth+color,4,0,1784283615231839
cross_stream,0,0,depth+color,5,0,1784283615298891
cross_stream,0,0,depth+color,4,0,1784283615332049
cross_stream,0,0,depth+color,5,0,1784283615365534
cross_stream,0,0,depth+color,4,0,1784283615399200
cross_stream,0,0,depth+color,4,0,1784283615431853
cross_stream,0,0,depth+color,5,0,1784283615465603
cross_stream,0,0,depth+color,5,0,1784283615498529
cross_stream,0,0,depth+color,5,0,1784283615531876
cross_stream,0,0,depth+color,4,0,1784283615565326
cross_stream,0,0,depth+color,4,0,1784283615598971
cross_stream,0,0,depth+color,4,0,1784283615632702
cross_stream,0,0,depth+color,4,0,1784283615665165
cross_stream,0,0,depth+color,4,0,1784283615700314
cross_stream,0,0,depth+color,5,0,1784283615731765
